"","lat","long","name","library","state","city","firstgen","admissions"
"4465",29.839013,-95.562002,"Chamberlain College of Nursing-Texas",0,"TX","Houston",4735.177334,4545
"4466",36.1264,-94.156211,"Regency Beauty Institute-Fayetteville",0,"AR","Fayetteville",5104.299702,NA
"4467",36.307182,-86.685045,"Regency Beauty Institute-North Nashville",0,"TN","Madison",5104.299702,NA
"4468",33.99799,-81.040121,"Paul Mitchell the School-Columbia",0,"SC","Columbia",4309.133489,NA
"4469",32.8746,-80.022641,"Paul Mitchell the School-Charleston",0,"SC","North Charleston",4309.133489,NA
"4470",34.788962,-82.483168,"Kenneth Shuler School of Cosmetology-Greenville",0,"SC","Greenville",4930.362117,NA
"4471",44.09207,-123.096891,"Northwest College-Eugene",0,"OR","Springfield",5241.809672,NA
"4472",38.13488,-85.684061,"Trend Setters' Academy of Beauty Culture-Louisville",0,"KY","Louisville",5820.895522,NA
"4473",25.77484,-80.138561,"Beauty Schools of America",0,"FL","Miami Beach",6686.251469,NA
"4474",30.00479,-90.163241,"Vanguard College of Cosmetology-Metairie",0,"LA","Metairie",4615.384615,NA
"4475",42.73019,-71.116861,"New England Tractor Trailer Training School of Massachusetts",0,"MA","North Andover",5647.226174,NA
"4476",36.0411,-115.120471,"Utah College of Massage Therapy-Vegas",0,"NV","Las Vegas",4505.247376,NA
"4477",39.703905,-104.824276,"Utah College of Massage Therapy-Aurora",0,"CO","Aurora",4505.247376,NA
"4478",36.09865,-95.906151,"Oklahoma Technical College",0,"OK","Tulsa",5296.319401,NA
"4479",41.48967,-90.483631,"Midwest Technical Institute-Moline",0,"IL","Moline",5237.877402,NA
"4480",30.20428,-93.193251,"Unitech Training Academy-Lake Charles",0,"LA","Lake Charles",6505.102041,NA
"4481",43.03426,-87.906391,"The Art Institute of Wisconsin",0,"WI","Milwaukee",5068.888408,NA
"4482",41.999591,-87.660688,"Tricoci University of Beauty Culture-Chicago NE",0,"IL","Chicago",4325.581395,NA
"4483",33.467719,-112.26423,"ITT Technical Institute-Phoenix West",0,"AZ","Phoenix",5015.461495,8905
"4484",31.51218,-97.139031,"ITT Technical Institute-Waco",0,"TX","Waco",5015.461495,9296
"4485",34.11062,-117.827131,"Azusa Pacific University College",0,"CA","San Dimas",3655.308364,NA
