"","lat","long","name","library","state","city","firstgen","admissions"
"1154",38.907371,-76.993675,"Gallaudet University",0,"DC","Washington",28.17258883,61.92
"1155",38.86969,-77.170381,"Medtech Institute",0,"VA","Falls Church",61.63723917,NA
"1156",27.959058,-82.515082,"Concorde Career Institute-Tampa",0,"FL","Tampa",55.70934256,74.03
"1157",25.804092,-80.263591,"George T Baker Aviation Technical College",0,"FL","Miami",46.40522876,NA
"1158",27.839722,-82.688959,"Cortiva Institute-Florida",0,"FL","Pinellas Park",50.90311987,NA
"1159",31.978109,-81.160409,"Armstrong State University",0,"GA","Savannah",34.21678559,73.95
"1160",32.501556,-84.940796,"Columbus State University",0,"GA","Columbus",33.57021997,55.69
"1161",33.748772,-84.412818,"Clark Atlanta University",0,"GA","Atlanta",31.90072639,51.2
"1162",33.70893,-84.404659,"Atlanta Metropolitan State College",0,"GA","Atlanta",38.91814265,NA
"1163",31.182741,-81.486086,"College of Coastal Georgia",0,"GA","Brunswick",38.95781638,94.99
"1164",33.767494,-84.399724,"Bauder College",0,"GA","Atlanta",NA,NA
"1165",33.418992,-82.048439,"Augusta Technical College",0,"GA","Augusta",45.47191441,NA
"1166",33.618673,-84.351999,"Beauty College of America",0,"GA","Forest Park",58.33333333,NA
"1167",33.784536,-84.389224,"Brown College of Court Reporting",0,"GA","Atlanta",40,74.07
"1168",33.927829,-84.29844,"Atlanta School of Massage",0,"GA","Atlanta",38.00475059,NA
"1169",30.473871,-83.421873,"North Florida Community College",0,"FL","Madison",57.30337079,NA
"1170",41.221548,-73.24461,"Sacred Heart University",0,"CT","Fairfield",25.31588448,58.97
"1171",41.165587,-73.189352,"University of Bridgeport",0,"CT","Bridgeport",45.37750385,51.77
"1172",41.535334,-73.080525,"Post University",0,"CT","Waterbury",56.79151943,81.13
"1173",39.198371,-75.56012,"Delaware Technical Community College-Terry",0,"DE","Dover",51.8253815,NA
"1174",41.705498,-72.87754,"Tunxis Community College",0,"CT","Farmington",55.54803789,NA
"1175",41.102574,-73.450965,"Norwalk Community College",0,"CT","Norwalk",52.94832827,NA
"1176",41.783028,-72.730489,"University of Saint Joseph",0,"CT","West Hartford",43.49593496,92.68
"1177",41.311158,-72.926688,"Yale University",0,"CT","New Haven",25.26475038,6.73
"1178",41.746746,-72.688684,"Trinity College",0,"CT","Hartford",15.2892562,33.41
"1179",39.754694,-75.594268,"Dawn Career Institute LLC",0,"DE","Wilmington",65.4,NA
"1180",38.807095,-104.740267,"Everest College-Colorado Springs",0,"CO","Colorado Springs",58.34502104,NA
"1181",39.77651,-104.856171,"Lincoln College of Technology-Denver",0,"CO","Denver",51.27108851,NA
"1182",40.080745,-108.790296,"Colorado Northwestern Community College",0,"CO","Rangely",43.00847458,NA
"1183",39.718699,-104.867089,"Concorde Career College-Aurora",0,"CO","Aurora",52.05970149,64.36
"1184",41.769861,-72.707766,"Hartford Seminary",0,"CT","Hartford",NA,NA
"1185",41.60682,-72.647853,"Holy Apostles College and Seminary",0,"CT","Cromwell",NA,NA
